LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
BRA,PISASCIENCE,BOY,MEANSCORE,A,2018,403
BRA,PISASCIENCE,GIRL,MEANSCORE,A,2018,404
BRA,PISASCIENCE,TOT,MEANSCORE,A,2018,404
CAN,PISASCIENCE,BOY,MEANSCORE,A,2018,516
CAN,PISASCIENCE,GIRL,MEANSCORE,A,2018,520
CAN,PISASCIENCE,TOT,MEANSCORE,A,2018,518
CHE,PISASCIENCE,BOY,MEANSCORE,A,2018,495
CHE,PISASCIENCE,GIRL,MEANSCORE,A,2018,495
CHE,PISASCIENCE,TOT,MEANSCORE,A,2018,495
CHL,PISASCIENCE,BOY,MEANSCORE,A,2018,445
CHL,PISASCIENCE,GIRL,MEANSCORE,A,2018,442
CHL,PISASCIENCE,TOT,MEANSCORE,A,2018,444
COL,PISASCIENCE,TOT,MEANSCORE,A,2018,413
COL,PISASCIENCE,BOY,MEANSCORE,A,2018,420
COL,PISASCIENCE,GIRL,MEANSCORE,A,2018,407
CRI,PISASCIENCE,TOT,MEANSCORE,A,2018,416
CRI,PISASCIENCE,BOY,MEANSCORE,A,2018,420
CRI,PISASCIENCE,GIRL,MEANSCORE,A,2018,411
CZE,PISASCIENCE,BOY,MEANSCORE,A,2018,496
CZE,PISASCIENCE,GIRL,MEANSCORE,A,2018,498
CZE,PISASCIENCE,TOT,MEANSCORE,A,2018,497
DEU,PISASCIENCE,BOY,MEANSCORE,A,2018,502
DEU,PISASCIENCE,GIRL,MEANSCORE,A,2018,504
DEU,PISASCIENCE,TOT,MEANSCORE,A,2018,503
DNK,PISASCIENCE,BOY,MEANSCORE,A,2018,492
DNK,PISASCIENCE,GIRL,MEANSCORE,A,2018,494
DNK,PISASCIENCE,TOT,MEANSCORE,A,2018,493
ESP,PISASCIENCE,BOY,MEANSCORE,A,2018,484
ESP,PISASCIENCE,GIRL,MEANSCORE,A,2018,482
ESP,PISASCIENCE,TOT,MEANSCORE,A,2018,483
EST,PISASCIENCE,BOY,MEANSCORE,A,2018,528
EST,PISASCIENCE,GIRL,MEANSCORE,A,2018,533
EST,PISASCIENCE,TOT,MEANSCORE,A,2018,530
FIN,PISASCIENCE,BOY,MEANSCORE,A,2018,510
FIN,PISASCIENCE,GIRL,MEANSCORE,A,2018,534
FIN,PISASCIENCE,TOT,MEANSCORE,A,2018,522
FRA,PISASCIENCE,BOY,MEANSCORE,A,2018,493
FRA,PISASCIENCE,GIRL,MEANSCORE,A,2018,493
FRA,PISASCIENCE,TOT,MEANSCORE,A,2018,493
GBR,PISASCIENCE,BOY,MEANSCORE,A,2018,506
GBR,PISASCIENCE,GIRL,MEANSCORE,A,2018,503
GBR,PISASCIENCE,TOT,MEANSCORE,A,2018,505
GRC,PISASCIENCE,BOY,MEANSCORE,A,2018,446
GRC,PISASCIENCE,GIRL,MEANSCORE,A,2018,457
GRC,PISASCIENCE,TOT,MEANSCORE,A,2018,452
HUN,PISASCIENCE,BOY,MEANSCORE,A,2018,484
HUN,PISASCIENCE,GIRL,MEANSCORE,A,2018,478
HUN,PISASCIENCE,TOT,MEANSCORE,A,2018,481
IDN,PISASCIENCE,BOY,MEANSCORE,A,2018,393
IDN,PISASCIENCE,GIRL,MEANSCORE,A,2018,399
IDN,PISASCIENCE,TOT,MEANSCORE,A,2018,396
IRL,PISASCIENCE,BOY,MEANSCORE,A,2018,495
IRL,PISASCIENCE,GIRL,MEANSCORE,A,2018,497
IRL,PISASCIENCE,TOT,MEANSCORE,A,2018,496
ISL,PISASCIENCE,BOY,MEANSCORE,A,2018,471
ISL,PISASCIENCE,GIRL,MEANSCORE,A,2018,479
ISL,PISASCIENCE,TOT,MEANSCORE,A,2018,475
ISR,PISASCIENCE,BOY,MEANSCORE,A,2018,452
ISR,PISASCIENCE,GIRL,MEANSCORE,A,2018,471
ISR,PISASCIENCE,TOT,MEANSCORE,A,2018,462
ITA,PISASCIENCE,BOY,MEANSCORE,A,2018,470
ITA,PISASCIENCE,GIRL,MEANSCORE,A,2018,466
ITA,PISASCIENCE,TOT,MEANSCORE,A,2018,468
JPN,PISASCIENCE,BOY,MEANSCORE,A,2018,531
JPN,PISASCIENCE,GIRL,MEANSCORE,A,2018,528
JPN,PISASCIENCE,TOT,MEANSCORE,A,2018,529
KOR,PISASCIENCE,BOY,MEANSCORE,A,2018,521
KOR,PISASCIENCE,GIRL,MEANSCORE,A,2018,517
KOR,PISASCIENCE,TOT,MEANSCORE,A,2018,519
LTU,PISASCIENCE,TOT,MEANSCORE,A,2018,482
LTU,PISASCIENCE,BOY,MEANSCORE,A,2018,479
LTU,PISASCIENCE,GIRL,MEANSCORE,A,2018,485
LUX,PISASCIENCE,BOY,MEANSCORE,A,2018,475
LUX,PISASCIENCE,GIRL,MEANSCORE,A,2018,479
LUX,PISASCIENCE,TOT,MEANSCORE,A,2018,477
LVA,PISASCIENCE,BOY,MEANSCORE,A,2018,483
LVA,PISASCIENCE,GIRL,MEANSCORE,A,2018,491
LVA,PISASCIENCE,TOT,MEANSCORE,A,2018,487
MEX,PISASCIENCE,BOY,MEANSCORE,A,2018,424
MEX,PISASCIENCE,GIRL,MEANSCORE,A,2018,415
MEX,PISASCIENCE,TOT,MEANSCORE,A,2018,419
NLD,PISASCIENCE,BOY,MEANSCORE,A,2018,499
NLD,PISASCIENCE,GIRL,MEANSCORE,A,2018,508
NLD,PISASCIENCE,TOT,MEANSCORE,A,2018,503
NOR,PISASCIENCE,BOY,MEANSCORE,A,2018,485
NOR,PISASCIENCE,GIRL,MEANSCORE,A,2018,496
NOR,PISASCIENCE,TOT,MEANSCORE,A,2018,490
NZL,PISASCIENCE,BOY,MEANSCORE,A,2018,509
NZL,PISASCIENCE,GIRL,MEANSCORE,A,2018,508
NZL,PISASCIENCE,TOT,MEANSCORE,A,2018,508
OAVG,PISASCIENCE,BOY,MEANSCORE,A,2018,488
OAVG,PISASCIENCE,GIRL,MEANSCORE,A,2018,490
OAVG,PISASCIENCE,TOT,MEANSCORE,A,2018,489
POL,PISASCIENCE,BOY,MEANSCORE,A,2018,511
POL,PISASCIENCE,GIRL,MEANSCORE,A,2018,511
POL,PISASCIENCE,TOT,MEANSCORE,A,2018,511
PRT,PISASCIENCE,BOY,MEANSCORE,A,2018,494
PRT,PISASCIENCE,GIRL,MEANSCORE,A,2018,489
PRT,PISASCIENCE,TOT,MEANSCORE,A,2018,492
RUS,PISASCIENCE,BOY,MEANSCORE,A,2018,477
RUS,PISASCIENCE,GIRL,MEANSCORE,A,2018,478
RUS,PISASCIENCE,TOT,MEANSCORE,A,2018,478
SVK,PISASCIENCE,BOY,MEANSCORE,A,2018,461
SVK,PISASCIENCE,GIRL,MEANSCORE,A,2018,467
SVK,PISASCIENCE,TOT,MEANSCORE,A,2018,464
SVN,PISASCIENCE,BOY,MEANSCORE,A,2018,502
SVN,PISASCIENCE,GIRL,MEANSCORE,A,2018,512
SVN,PISASCIENCE,TOT,MEANSCORE,A,2018,507
SWE,PISASCIENCE,BOY,MEANSCORE,A,2018,496
SWE,PISASCIENCE,GIRL,MEANSCORE,A,2018,503
SWE,PISASCIENCE,TOT,MEANSCORE,A,2018,499
TUR,PISASCIENCE,BOY,MEANSCORE,A,2018,465
TUR,PISASCIENCE,GIRL,MEANSCORE,A,2018,472
TUR,PISASCIENCE,TOT,MEANSCORE,A,2018,468
USA,PISASCIENCE,BOY,MEANSCORE,A,2018,503
USA,PISASCIENCE,GIRL,MEANSCORE,A,2018,502
USA,PISASCIENCE,TOT,MEANSCORE,A,2018,502
